Squad,#Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Squad_id,League_id,Sh,SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Passes_Att,Passes_TotDist,Passes_PrgDist,KP,LastThird,PPA,CrsPA,SCA,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Tkl,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Clr,Err,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Receiving_Rec,Receiving_Prog,Subs,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,2CrdY,Fls,Fld,Off,Crs,TklW,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost,Passes_Cmp
Alavés,20,27.3,41.3,12,132,"1,080",12,8,1,1,27,0,11.6,10.8,7.7,aa11fb42,230,99,39,17.8,3,0.12,+0.4,+0.2,3979,49307,23471,60,186,34,12,137,84,16,4,16,11,6,19,12,1,2,2,1,1,216,117,68,31,117,33,84,118,261,8,5273,973,2522,1855,952,161,5272,44,116,2420,143,52,36,0.75,13,34,-21,11.6,24.2,-12.6,0,133,122,31,147,133,2,1,604,131,129,0
Alhama,21,26.3,40.0,12,132,"1,080",5,3,0,0,27,2,7.9,7.9,5.0,e9fecaf2,230,120,30,19.7,4,0.07,-2.9,-2.9,3679,41249,22471,67,186,55,27,166,107,23,5,14,12,5,6,4,1,0,1,0,0,305,152,128,25,156,52,104,158,252,3,5099,739,2141,1979,1033,167,5099,37,92,1808,192,47,32,0.25,5,26,-21,7.9,19.7,-11.8,2,163,118,34,202,185,1,1,690,146,174,0
Athletic Club,23,24.5,49.0,12,132,"1,080",14,11,0,0,16,0,11.7,11.7,8.4,94929c05,230,129,44,19.5,2,0.09,+2.3,+2.3,5007,68110,27474,91,260,49,22,203,142,26,4,18,10,3,22,18,1,0,3,0,0,224,116,74,34,119,30,89,150,232,2,6398,823,2629,2491,1343,146,6398,75,155,3353,234,56,34,1.08,16,21,-5,11.7,16.6,-5.0,0,122,106,29,223,134,0,0,790,111,120,0
Atlético Madrid,21,26.1,55.8,12,132,"1,080",20,13,2,3,17,0,20.7,18.3,14.0,b56c2667,230,168,59,17.3,9,0.11,-0.7,-0.3,5937,87460,35688,123,413,104,31,283,208,20,19,19,14,3,34,29,0,2,1,2,0,192,76,91,25,119,28,91,165,173,4,7301,655,2364,3218,1801,279,7298,108,227,4542,376,54,39,1.92,21,14,+7,20.7,11.6,+9.1,0,124,128,40,250,107,2,1,722,98,92,0
Barcelona,26,26.7,68.9,12,132,"1,080",46,34,1,2,15,0,35.9,34.4,27.7,15f49df1,230,280,110,15.4,6,0.13,+10.1,+10.6,7778,112779,42960,216,621,174,45,482,353,54,18,44,12,1,78,56,6,5,8,3,0,175,57,79,39,96,14,82,87,97,2,8904,599,2301,4134,2527,486,8902,68,169,6400,556,59,39,3.00,49,4,+45,35.9,6.2,+29.7,0,124,120,48,304,109,1,0,755,94,77,0
Levante,21,24.7,58.4,12,132,"1,080",31,25,1,2,18,0,26.7,25.1,20.2,0f4738a8,230,208,80,17.1,3,0.12,+4.3,+4.9,6023,88931,36251,144,418,106,23,338,255,26,20,24,7,6,52,42,2,2,4,1,1,258,97,110,51,131,16,115,147,148,7,7395,683,2258,3348,1860,328,7393,102,203,4546,393,46,48,2.17,34,17,+17,26.7,11.2,+15.5,0,118,121,46,202,167,0,0,735,109,91,0
Levante Planas,23,25.9,40.4,12,132,"1,080",12,7,1,1,22,1,10.6,9.8,7.0,753b93a5,230,120,43,21.5,9,0.08,+1.4,+1.2,3900,48985,24223,74,199,50,18,195,107,32,13,13,24,6,18,12,0,1,3,2,0,251,135,91,25,125,35,90,162,270,0,5343,866,2326,2139,959,139,5342,89,199,2421,221,53,33,0.92,12,27,-15,10.6,21.9,-11.4,1,136,122,34,113,161,4,1,663,101,98,0
Madrid CFF,21,26.9,49.8,12,132,"1,080",24,16,1,1,29,1,17.6,16.8,12.4,89818574,230,181,77,18.4,3,0.09,+6.4,+6.2,5085,67445,29824,116,316,64,19,286,190,39,17,19,12,9,40,22,5,4,3,3,3,248,128,95,25,137,40,97,154,219,6,6558,667,2485,2723,1432,228,6557,70,148,3458,312,48,47,2.08,25,16,+9,17.6,12.4,+5.2,1,153,123,33,202,160,2,0,825,109,97,0
Real Betis,25,25.3,48.8,12,132,"1,080",14,8,1,1,21,1,9.0,8.2,5.8,74142337,230,124,48,20.8,3,0.07,+5.0,+4.8,4687,59928,26207,84,226,47,21,202,143,24,10,10,8,7,22,18,2,1,0,1,0,207,88,93,26,123,36,87,145,173,2,6028,723,2264,2511,1312,157,6027,68,174,3103,239,50,48,1.08,14,26,-12,9.0,25.5,-16.5,0,128,117,18,171,145,2,1,737,109,155,0
Real Madrid,21,25.6,60.1,11,121,990,30,27,0,0,16,0,18.2,18.2,15.4,54582b93,230,157,64,17.6,3,0.12,+11.8,+11.8,5702,84341,31535,121,390,89,24,261,191,22,11,15,11,11,50,37,4,3,4,0,2,210,88,79,43,120,32,88,125,122,2,6839,632,2150,3117,1639,264,6839,107,209,4405,357,51,50,2.55,31,9,+22,18.2,10.8,+7.4,0,119,135,35,217,147,0,1,685,80,102,0
