Player,Pos,Squad,MP,Starts,Min,GA,SoTA,Saves,W,D,L,CleanSheets,PKatt,PKA,PKsv,PKm,Goals_FK,Goals_CK,Goals_OG,PSxG,PSxG/SoT,PSxG+/-,Launched_Cmp,Launched_Att,Passes_Att,Passes_Thr,Passes_AvgLen,GoalKicks_Att,GoalKicks_AvgLen,Crosses_Opp,Crosses_Stp,Sweeper_#OPA,Sweeper_AvgDist
Yolanda Aguirre,GK,Sevilla,4,4,360,10,22,14,1,0,3,1,2,2,0,0,0,0,2,6.4,0.20,-1.6,11,39,76,18,35.7,34,34.2,48,7,6,14.5
Chelsea Ashurst,GK,Sporting Huelva,4,4,360,7,20,13,1,1,2,2,1,1,0,0,0,0,0,9.2,0.41,+2.2,30,86,74,6,51.5,43,40.6,51,0,2,14.4
María Asunción Quiñones,GK,Athletic Club,11,11,990,20,62,42,4,1,6,2,0,0,0,0,0,2,0,19.0,0.31,-1.0,48,117,294,54,32.5,106,29.0,138,13,15,15.3
Doris Bačić,GK,Levante Planas,10,10,900,24,67,42,2,2,6,0,3,1,2,0,0,3,1,24.8,0.33,+1.8,52,128,222,43,35.4,108,32.1,161,8,7,13.0
Nayluisa Cáceres,GK,UDG Tenerife,5,5,450,7,16,10,1,1,3,0,0,0,0,0,0,2,1,3.2,0.20,-2.8,16,74,150,25,35.3,39,41.5,77,5,13,17.2
Carmen Carbonell,GK,Villarreal,2,1,100,0,3,3,1,0,0,1,0,0,0,0,0,0,0,0.3,0.11,+0.3,9,24,21,0,44.7,9,54.0,17,2,2,14.4
Natalia Expósito,GK,Madrid CFF,1,1,90,7,11,4,0,0,1,0,0,0,0,0,0,0,0,3.6,0.33,-3.4,3,8,11,2,34.5,12,27.6,21,0,0,7.3
Gemma Font,GK,Barcelona,5,5,450,1,10,9,5,0,0,4,0,0,0,0,0,0,0,2.0,0.21,+1.0,13,20,134,24,24.5,12,16.4,32,2,9,20.6
Dolores Gallardo,GK,Atlético Madrid,11,11,990,13,41,28,7,2,2,4,2,1,1,0,1,2,1,9.5,0.20,-2.5,44,92,281,66,29.3,80,34.3,138,14,16,12.8
Méline Gérard,GK,Real Madrid,2,2,180,1,5,4,2,0,0,1,0,0,0,0,0,0,0,1.9,0.44,+0.9,8,16,38,11,27.2,25,29.6,18,4,1,8.3
Noelia Gil,GK,Alhama,5,5,450,11,34,23,0,0,5,0,1,1,0,0,1,0,0,8.4,0.22,-2.6,40,105,107,7,47.4,43,40.2,50,0,2,10.3
Patricia Larqué,GK,Alavés,6,6,540,19,49,30,1,2,3,0,2,2,0,0,0,2,0,17.3,0.31,-1.7,37,133,210,25,38.1,56,39.9,103,4,3,10.0
Elene Lete,GK,Real Sociedad,5,5,450,5,19,14,2,3,0,2,1,1,0,0,0,1,0,4.8,0.20,-0.2,3,17,154,23,23.6,31,20.6,35,1,11,19.6
María López,GK,Levante,7,7,545,10,25,15,3,1,2,1,0,0,0,0,0,1,0,5.3,0.21,-4.7,9,27,162,34,24.1,47,25.4,59,6,8,13.5
Laura Martínez,GK,Alhama,6,6,540,11,32,22,1,0,5,1,0,0,0,0,0,1,1,9.3,0.29,-0.7,37,121,128,14,41.6,64,41.0,78,5,12,15.3
Zala Meršnik,GK,Sporting Huelva,7,7,630,13,42,30,2,2,3,0,0,0,0,0,0,0,1,12.8,0.31,+0.8,39,115,109,13,42.0,72,47.4,113,10,7,10.5
Malena Mieres,GK,Real Betis,7,7,630,17,43,27,2,1,4,2,1,1,0,0,0,1,1,15.0,0.33,-1.0,73,218,340,15,39.3,55,42.4,73,4,19,17.4
Cosette Morché,GK,Valencia,1,1,90,1,7,6,0,0,1,0,0,0,0,0,0,1,0,1.6,0.27,+0.6,2,7,23,10,33.0,12,26.8,16,1,0,4.0
Adriana Nanclares,GK,Real Sociedad,6,6,540,7,22,15,3,1,2,1,0,0,0,0,0,3,0,7.5,0.38,+0.5,18,37,139,21,27.8,41,22.9,89,1,5,14.1
Sandra Paños,GK,Barcelona,6,6,540,3,8,5,6,0,0,3,1,1,0,0,0,0,0,4.6,0.46,+1.6,12,30,186,32,24.8,31,24.1,37,3,5,16.7
Montse Quesada,GK,Levante Planas,1,1,90,3,7,4,0,0,1,0,1,1,0,0,0,0,0,3.1,0.30,+0.1,1,8,20,5,34.1,11,18.4,10,0,0,8.7
Noelia Ramos,GK,UDG Tenerife,5,5,450,5,19,13,2,2,1,2,1,0,1,0,0,1,0,3.3,0.12,-1.7,28,103,149,20,39.1,46,46.6,70,2,7,15.3
Misa Rodríguez,GK,Real Madrid,8,8,720,8,31,24,6,1,1,4,0,0,0,0,0,1,1,8.9,0.29,+1.9,32,59,169,36,29.1,54,30.0,74,6,16,16.0
Enith Salón,GK,Valencia,10,10,900,9,46,37,4,3,3,4,0,0,0,0,0,0,0,12.0,0.27,+3.0,32,85,316,48,29.2,81,27.4,127,17,13,13.2
Esther Sullastres,GK,Sevilla,7,7,630,10,33,22,2,3,2,2,1,0,1,0,0,2,0,7.8,0.21,-2.2,31,67,161,37,32.2,56,30.7,95,5,10,16.3
Andrea Tarazona,GK,Levante,5,4,445,4,14,10,3,1,0,2,0,0,0,0,0,1,0,4.1,0.29,+0.1,12,21,89,23,27.1,43,23.9,59,2,2,9.5
Gaëlle Thalmann,GK,Real Betis,4,4,360,9,20,11,1,0,3,1,1,1,0,0,0,1,0,6.9,0.30,-2.1,27,96,165,12,37.5,33,36.7,38,4,12,19.0
