Squad,#Pl,MP,Starts,Min,GA,SoTA,Saves,W,D,L,CleanSheets,PKatt,PKA,PKsv,PKm,Squad_id,League_id,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,PSxG,PSxG/SoT,PSxG+/-,Launched_Cmp,Launched_Att,Passes_Att,Passes_Thr,Passes_AvgLen,GoalKicks_Att,GoalKicks_AvgLen,Crosses_Opp,Crosses_Stp,Sweeper_#OPA,Sweeper_AvgDist
Alavés,2,12,12,1080,34,95,62,2,3,7,1,2,2,0,0,aa11fb42,230,34,2,0,2,1,27.8,0.27,-5.2,62,225,392,60,36.2,121,36.7,235,11,4,9.1
Alhama,2,12,12,1080,26,79,54,1,0,11,1,1,1,0,0,e9fecaf2,230,26,1,2,1,1,20.8,0.25,-4.2,87,252,256,21,44.2,120,40.1,151,9,14,13.1
Athletic Club,1,12,12,1080,21,70,49,4,1,7,2,0,0,0,0,94929c05,230,21,0,0,2,0,20.5,0.29,-0.5,53,133,332,59,32.7,114,28.7,148,15,17,15.0
Atlético Madrid,1,12,12,1080,14,46,32,7,2,3,4,2,1,1,0,b56c2667,230,14,1,1,3,1,10.2,0.20,-2.8,50,102,322,78,28.8,91,34.1,154,16,16,12.8
Barcelona,2,12,12,1080,4,19,15,12,0,0,8,1,1,0,0,15f49df1,230,4,1,0,0,0,6.8,0.31,+2.8,25,50,343,60,24.1,47,21.7,70,5,19,20.4
Levante,2,12,12,1080,17,47,30,7,2,2,3,0,0,0,0,0f4738a8,230,17,0,0,2,0,12.1,0.26,-4.9,26,61,272,61,25.9,96,25.3,134,8,10,12.1
Levante Planas,2,12,12,1080,27,77,49,3,2,7,1,4,2,2,0,753b93a5,230,27,2,0,3,1,28.2,0.32,+2.2,62,157,262,52,36.0,132,31.9,196,11,7,12.2
Madrid CFF,2,12,12,1080,16,51,34,8,1,3,5,2,0,1,1,89818574,230,16,0,0,1,0,13.9,0.26,-2.1,24,58,145,40,30.2,106,24.5,150,7,14,12.6
Real Betis,2,12,12,1080,26,65,40,4,1,7,4,2,2,0,0,74142337,230,26,2,0,2,1,22.3,0.31,-2.7,114,341,540,28,39.0,92,40.0,121,11,36,17.9
Real Madrid,2,11,11,990,9,37,29,9,1,1,6,0,0,0,0,54582b93,230,9,0,0,1,1,10.9,0.30,+2.9,42,78,220,51,28.6,88,28.2,103,12,17,14.6
Real Sociedad,2,12,12,1080,16,45,30,5,4,3,3,1,1,0,0,c21f25d3,230,16,1,0,4,1,14.8,0.32,-0.2,27,67,325,48,26.4,78,22.5,136,3,18,17.0
Sevilla,2,12,12,1080,22,66,45,3,3,6,3,4,3,1,0,215d9026,230,22,3,0,2,2,17.3,0.20,-2.7,46,118,261,61,34.1,94,31.8,159,12,17,15.1
Sporting Huelva,2,12,12,1080,22,69,48,4,3,5,2,2,2,0,0,27acb0af,230,22,2,0,0,1,24.4,0.33,+3.4,74,221,209,21,45.3,121,45.1,179,10,9,11.3
UDG Tenerife,2,11,11,990,13,39,26,3,3,5,2,1,0,1,0,4c088abe,230,13,0,0,3,1,7.4,0.17,-4.6,48,189,321,45,37.0,96,42.7,154,7,21,16.6
Valencia,2,12,12,1080,13,61,49,4,3,5,4,0,0,0,0,f96ff499,230,13,0,0,1,1,15.7,0.27,+3.7,36,95,377,65,28.8,104,26.9,164,20,18,14.0
Villarreal,2,12,12,1080,31,65,37,3,1,7,2,0,0,0,0,7a7bef84,230,31,0,2,5,3,18.5,0.29,-9.5,71,206,285,21,37.8,85,49.7,181,4,30,17.9
Arsenal,1,9,9,810,5,30,24,8,0,1,6,0,0,0,0,411b1108,189,5,0,0,1,0,5.1,0.17,+0.1,12,37,404,34,23.3,33,22.7,71,5,6,14.7
Aston Villa,2,9,9,810,19,46,28,4,0,5,2,0,0,0,0,53157aa8,189,19,0,0,3,1,10.9,0.24,-7.1,35,79,254,37,28.5,54,36.0,94,2,1,8.9
Brighton,1,8,8,720,29,62,32,2,1,5,0,0,0,0,0,fa2752bc,189,29,0,0,3,2,18.2,0.29,-8.8,30,103,276,42,31.6,86,31.0,114,9,7,12.3
Chelsea,2,10,10,900,8,27,19,9,0,1,4,2,2,0,0,a6a4e67d,189,8,2,0,1,1,8.0,0.22,+1.0,44,67,326,32,27.7,56,27.9,75,6,4,12.8
Everton,2,8,8,720,10,41,31,3,0,5,3,1,1,0,0,c4989550,189,10,1,0,1,0,11.2,0.25,+1.2,14,43,238,53,24.1,52,26.4,117,9,9,12.4
Leicester City WFC,2,9,9,810,25,52,27,0,0,9,0,2,1,1,0,23bce84e,189,25,1,0,3,1,16.3,0.28,-7.7,53,120,248,26,33.0,62,37.2,128,3,4,12.1
Liverpool,2,9,9,810,16,44,29,2,2,5,1,3,3,0,0,00f74a56,189,16,3,0,2,1,11.9,0.21,-3.1,57,185,398,33,34.8,69,39.5,138,7,8,11.6
Manchester City,2,9,9,810,10,24,14,6,1,2,3,1,1,0,0,9ce68f8a,189,10,1,0,2,0,7.8,0.29,-2.2,10,32,358,38,22.0,46,25.6,73,2,6,13.6
Manchester Utd,1,9,9,810,6,29,23,7,1,1,6,0,0,0,0,0bbd83f6,189,6,0,0,0,0,5.3,0.18,-0.7,22,41,345,39,23.1,44,28.1,111,5,8,14.2
Reading,2,10,10,895,23,56,34,2,1,6,1,3,2,1,0,5d020380,189,23,2,0,3,2,14.4,0.21,-6.6,35,109,275,37,32.0,83,32.3,154,3,7,14.0
Tottenham,2,8,8,720,14,39,26,3,0,5,2,2,1,0,1,e8e4577c,189,14,1,0,4,2,8.9,0.20,-3.1,24,69,251,27,28.5,55,26.5,117,2,6,14.5
West Ham,2,10,10,900,18,58,37,4,0,5,3,3,2,1,0,52d65cea,189,18,2,0,4,0,14.7,0.19,-3.3,63,209,272,51,40.0,106,42.4,180,7,5,10.0
Bordeaux,2,11,11,990,15,46,32,4,3,4,2,1,1,0,0,69dee2b0,193,15,1,0,3,1,12.7,0.26,-1.3,40,106,282,86,30.9,95,32.6,155,12,4,10.7
Dijon,2,11,11,900,28,73,48,2,2,6,2,1,1,0,0,68f9fd31,193,28,1,0,3,3,22.9,0.32,-2.1,31,102,327,59,28.7,124,30.3,220,11,9,11.4
Fleury,2,11,11,990,9,35,26,4,3,3,4,1,1,0,0,4fcc2996,193,9,1,0,3,0,7.9,0.20,-1.1,43,154,281,23,34.6,79,45.4,136,12,6,11.2
Guingamp,1,11,11,900,20,61,41,1,1,8,1,2,2,0,0,abc4f6d7,193,20,2,0,3,0,20.7,0.29,+0.7,24,68,278,68,28.2,91,29.5,150,14,8,11.8
Le Havre,1,11,11,900,16,57,41,4,1,5,2,2,2,0,0,c57b7254,193,16,2,1,0,0,16.7,0.26,+0.7,43,135,253,39,34.7,106,34.5,145,3,15,21.6
Lyon,2,11,11,900,6,19,14,9,1,0,5,1,1,0,0,7f2012ad,193,6,1,0,1,1,5.6,0.25,+0.6,20,34,225,30,25.0,43,28.0,57,2,8,16.6
Montpellier,1,11,11,900,13,35,21,4,4,2,2,3,2,1,0,7bbdea71,193,13,2,0,2,0,11.6,0.28,-1.4,16,72,170,31,30.7,63,32.1,112,7,14,18.7
Paris FC,2,11,11,900,9,39,30,5,2,2,4,1,1,0,0,28d9b675,193,9,1,0,3,0,11.2,0.27,+2.2,23,62,258,62,27.6,61,31.2,126,16,16,15.2
Paris S-G,3,11,11,900,6,20,14,8,2,0,6,0,0,0,0,80595417,193,6,0,0,1,0,5.2,0.26,-0.8,25,54,337,46,27.1,50,29.6,76,8,16,17.0
Rodez,1,11,11,900,17,48,31,1,2,7,1,0,0,0,0,700c41b4,193,17,0,0,1,0,17.2,0.36,+0.2,21,59,197,55,27.8,91,30.3,137,7,8,14.4
Soyaux,1,11,11,900,20,79,60,1,2,7,1,1,0,0,1,b54d31b3,193,20,0,1,1,2,24.7,0.31,+6.7,54,180,304,27,38.5,90,28.7,168,9,18,16.2
Stade de Reims,1,11,11,900,15,52,36,4,2,4,3,1,0,1,0,e3696882,193,15,0,0,5,0,12.7,0.23,-2.3,14,39,170,65,27.9,101,17.5,170,2,3,10.0
