Wk,Day,Date,Time,Home,xGHome,Score,xGAway,Away,Venue,Referee,HomeID,AwayID,MatchID,xPHome,xPAway
2,Sat,2022-09-17,12:00,Barcelona,1.9,2–0,0.4,UDG Tenerife,Estadi Johan Cruyff,María Dolores Martínez Madrona,15f49df1,4c088abe,4df3a732,2.41,0.4
2,Sat,2022-09-17,12:00,Alavés,1.1,1–2,1.2,Madrid CFF,Ciudad Deportiva José Luis Compañón,Manuel Pascali,aa11fb42,89818574,87c755cd,1.29,1.43
2,Sat,2022-09-17,16:00,Real Sociedad,0.7,2–0,0.3,Villarreal,Estadio Zubieta XXI,Alicia Espinosa Ríos,c21f25d3,7a7bef84,abfde9d9,1.68,0.87
2,Sat,2022-09-17,16:00,Real Madrid,1.6,2–0,0.8,Valencia,Estadio Alfredo Di Stéfano,Marta Huerta de Aza,54582b93,f96ff499,d0329f46,1.94,0.81
2,Sat,2022-09-17,18:00,Sevilla,1.1,1–3,1.4,Atlético Madrid,Estadio Viejo Nervión,Bruno Gallo,215d9026,b56c2667,f4452586,1.15,1.58
2,Sun,2022-09-18,12:00,Alhama,0.7,2–3,2.1,Levante,Complejo Deportivo Guadalentín,Elena Peláez Arnillas,e9fecaf2,0f4738a8,b2402e4e,0.53,2.28
2,Sun,2022-09-18,12:00,Athletic Club,3.1,3–0,0.2,Sporting Huelva,Estadio Santa María de Lezama,Elisabeth Calvo Valentín,94929c05,27acb0af,d320ccc0,2.84,0.1
2,Sun,2022-09-18,18:00,Real Betis,0.3,1–2,1.3,Levante Planas,Ciudad Deportiva Luis de Sol,Amy Peñalver Pearce,74142337,753b93a5,ddc9ce5c,0.54,2.18
3,Sat,2022-09-24,12:00,Madrid CFF,3.4,3–1,0.6,Levante Planas,Estadio Municipal Nuevo Matapiñonera,Beatriz Cuesta Arribas,89818574,753b93a5,5a55bc4f,2.74,0.18
3,Sat,2022-09-24,12:00,Sporting Huelva,0.5,1–0,0.8,Alhama,Campo Federativo de la Orden,André Dias,27acb0af,e9fecaf2,8c012533,1.03,1.57
3,Sat,2022-09-24,16:00,Valencia,2.8,2–0,1.3,Sevilla,Ciudad Deportiva Valencia Campo 1,Alex Bruno,f96ff499,215d9026,e777f569,2.22,0.62
3,Sat,2022-09-24,18:00,Real Sociedad,2.8,2–2,0.6,Real Betis,Estadio Zubieta XXI,Xiomara Díaz García,c21f25d3,74142337,799cf7ad,2.6,0.28
