Player,Nation,Age,Min,SoTA,GA,Saves,PSxG,Launched_Cmp,Launched_Att,Passes_Att,Passes_Thr,Passes_AvgLen,GoalKicks_Att,GoalKicks_AvgLen,Crosses_Opp,Crosses_Stp,Sweeper_#OPA,Sweeper_AvgDist,NationID,SquadID,MatchID
Sandra Paños,es ESP,29-317,90,1,0,1,0.2,0,0,14,4,19.9,4,22.0,2,0,1,15.0,ESP,15f49df1,4df3a732
Nayluisa Cáceres,ve VEN,22-303,90,6,2,4,1.0,2,26,31,2,44.5,13,40.5,32,2,3,13.1,VEN,4c088abe,4df3a732
Patricia Larqué,es ESP,30-138,90,5,2,3,0.6,5,17,34,3,35.0,7,37.6,11,0,0,5.5,ESP,aa11fb42,87c755cd
Paola Ulloa,,25-265,90,4,1,3,1.0,0,4,12,4,35.0,9,26.9,15,1,0,3.3,,89818574,87c755cd
Elene Lete,es ESP,20-133,90,2,0,2,0.1,1,6,43,7,26.4,6,14.2,16,0,0,10.0,ESP,c21f25d3,abfde9d9
Elena de Toro,,25-229,90,3,2,2,0.2,3,6,21,1,26.2,5,42.2,9,0,8,28.5,,7a7bef84,abfde9d9
Misa Rodríguez,es ESP,23-057,90,2,0,2,0.1,4,7,27,8,26.9,8,32.3,7,0,2,16.4,ESP,54582b93,d0329f46
Enith Salón,es ESP,20-358,90,6,2,4,1.4,5,14,45,9,32.1,8,34.5,12,2,3,16.3,ESP,f96ff499,d0329f46
Yolanda Aguirre,es ESP,23-329,90,4,3,2,1.4,2,7,13,1,31.2,12,25.0,12,1,4,28.6,ESP,215d9026,f4452586
Dolores Gallardo,es ESP,29-099,90,5,1,4,0.7,5,10,23,5,29.0,13,38.3,19,2,0,6.3,ESP,b56c2667,f4452586
Noelia Gil,es ESP,28-118,90,11,3,8,2.6,7,20,18,2,49.3,10,45.8,13,0,0,8.5,ESP,e9fecaf2,b2402e4e
Andrea Tarazona,,18-181,90,5,2,3,0.6,0,0,25,7,21.8,8,22.9,16,2,1,8.6,,0f4738a8,b2402e4e
María Asunción Quiñones,es ESP,25-324,90,3,0,3,0.3,1,4,39,6,21.2,6,28.7,3,0,1,13.5,ESP,94929c05,d320ccc0
Zala Meršnik,si SVN,21-103,90,7,3,4,3.0,4,15,18,4,36.7,12,48.2,13,1,0,4.0,SVN,27acb0af,d320ccc0
Gaëlle Thalmann,ch SUI,36-243,90,2,2,0,1.5,4,21,44,2,36.1,6,14.8,7,0,1,15.0,SUI,74142337,ddc9ce5c
Doris Bačić,hr CRO,27-207,90,4,1,3,0.8,4,13,14,5,36.0,9,47.2,17,1,2,18.0,CRO,753b93a5,ddc9ce5c
Paola Ulloa,,25-272,90,2,1,1,0.9,2,2,10,5,20.7,9,20.9,6,0,2,19.3,,89818574,5a55bc4f
Doris Bačić,hr CRO,27-213,90,9,3,6,4.8,6,11,19,5,36.0,13,36.0,13,1,2,22.8,CRO,753b93a5,5a55bc4f
Chelsea Ashurst,,32-155,90,3,0,3,1.2,7,27,19,1,54.7,14,44.0,21,0,0,6.7,,27acb0af,8c012533
Laura Martínez,,21-307,90,1,1,0,0.9,3,12,31,5,31.7,6,30.3,6,0,1,12.5,,e9fecaf2,8c012533
Enith Salón,es ESP,21-000,90,4,0,4,2.6,3,7,29,6,28.4,5,29.8,14,3,1,11.0,ESP,f96ff499,e777f569
Yolanda Aguirre,es ESP,23-336,90,7,2,5,1.7,5,11,22,4,36.3,6,32.5,12,1,1,11.0,ESP,215d9026,e777f569
Elene Lete,es ESP,20-140,90,6,2,4,1.5,1,4,30,8,22.3,6,29.2,7,0,4,22.2,ESP,c21f25d3,799cf7ad
Malena Mieres,,22-179,90,6,2,4,2.1,10,32,43,1,40.7,10,44.4,11,0,5,18.3,,74142337,799cf7ad
Dolores Gallardo,es ESP,29-107,90,0,0,0,0.0,4,7,19,5,30.1,5,32.0,6,0,1,15.0,ESP,b56c2667,ad54c9ef
Jana Xin,,18-361,90,6,1,5,1.9,5,27,28,4,40.9,18,35.3,41,5,1,7.4,,aa11fb42,ad54c9ef
Elena de Toro,,25-237,90,9,4,6,2.0,2,10,29,3,32.2,5,38.8,25,0,0,7.7,,7a7bef84,6a01f711
Sandra Paños,es ESP,29-325,90,1,1,0,0.8,1,2,34,8,23.1,7,20.9,9,1,0,14.3,ESP,15f49df1,6a01f711
Andrea Tarazona,,18-188,90,2,0,2,0.4,5,10,18,2,41.7,11,18.4,21,0,1,13.7,,0f4738a8,989342a1
María Asunción Quiñones,es ESP,25-331,90,4,2,2,0.7,7,10,28,6,37.6,11,8.9,15,1,1,18.0,ESP,94929c05,989342a1
Jana Xin,,19-002,90,9,4,5,2.9,1,5,28,6,28.9,4,43.5,10,1,0,8.0,,aa11fb42,0540f7dd
Elena de Toro,,25-243,90,3,0,3,0.5,6,14,23,3,36.7,5,50.2,14,0,1,17.3,,7a7bef84,0540f7dd
Malena Mieres,,22-186,90,8,2,6,2.3,7,18,78,3,30.0,2,18.5,5,1,2,19.9,,74142337,f73a565a
Nayluisa Cáceres,ve VEN,22-317,90,2,1,1,0.2,5,11,29,4,30.1,4,37.3,14,2,4,17.6,VEN,4c088abe,f73a565a
