Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Prog,Dribbles_Succ,Dribbles_Att,PlayerID,NationID,SquadID,MatchID,Total_Cmp,Total_Att,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Medium_Cmp,Medium_Att,Long_Cmp,Long_Att,xA,KP,1/3,PPA,CrsPA,Prog,Att,PassTypes_Live,PassTypes_Dead,PassTypes_FK,PassTypes_TB,PassTypes_Sw,PassTypes_Crs,PassTypes_TI,PassTypes_CK,CornerKicks_In,CornerKicks_Out,CornerKicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Tackles_Tkl,Tackles_TklW,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,VsDribbles_Tkl,VsDribbles_Att,VsDribbles_Past,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Tkl+Int,Clr,Err,Touches_Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Mis,Dribbles_Dis,Receiving_Rec,Receiving_Prog,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost
Geyse,18,br BRA,"FW,RW,LW",24-174,90,1,0,0,0,3,1,0,0,39,0,0,0,0.4,0.4,0.0,0,0,18,26,1,0,6,5b5de127,BRA,15f49df1,4df3a732,18,26,216,38,14,15,4,6,0,2,0.2,0,0,1,0,1,26,25,1,0,0,0,4,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,1,9,30,11,39,3,1,28,8,0,3,0,5,4,0,0,0,0,4,0,0
Ana-Maria Crnogorčević,7,ch SUI,LW,31-349,61,0,0,0,0,2,1,0,0,15,0,0,0,0.1,0.1,0.0,2,0,6,10,0,1,1,d3c316a3,SUI,15f49df1,4df3a732,6,10,59,15,5,5,0,3,0,0,0.0,1,0,0,0,0,10,10,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,4,10,5,15,3,1,12,7,0,0,0,0,1,0,0,0,0,1,0,0
Marta Torrejón,8,es ESP,RB,32-202,29,0,0,0,0,2,1,0,0,46,0,3,0,0.5,0.5,0.0,1,0,34,40,5,0,1,f45ad67e,ESP,15f49df1,4df3a732,34,40,438,176,24,27,9,10,0,1,0.0,0,3,0,0,5,40,34,5,0,0,0,1,5,0,0,0,0,34,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,46,0,5,25,16,5,46,0,0,33,2,0,0,1,0,1,0,0,0,0,3,0,1
Caroline Graham Hansen,10,no NOR,RW,27-211,71,1,0,0,0,3,1,1,0,63,0,0,1,0.2,0.2,0.3,9,0,38,58,4,4,7,e891b7ae,NOR,15f49df1,4df3a732,38,58,682,291,24,28,7,13,7,13,0.5,6,6,4,2,4,58,45,12,2,0,0,16,3,7,4,3,0,38,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,63,0,3,19,43,5,63,1,2,40,4,0,1,0,0,16,0,0,0,0,5,0,0
Nuria Rábano,22,es ESP,LB,23-094,19,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,16,19,1,1,2,a5d0b32a,ESP,15f49df1,4df3a732,16,19,248,50,8,8,7,7,1,3,0.0,0,1,1,0,1,19,14,5,0,0,0,1,5,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,9,9,1,19,0,0,12,1,0,0,0,0,1,0,0,0,0,2,0,0
Patricia Guijarro,12,es ESP,LM,24-123,10,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,1,0,0,b2ea5a14,ESP,15f49df1,4df3a732,1,1,41,19,0,0,0,0,1,1,0.0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Mariona Caldentey,9,es ESP,LM,26-182,80,0,0,0,0,0,0,0,0,56,0,1,1,0.0,0.0,0.0,2,0,36,51,7,0,0,59da315a,ESP,15f49df1,4df3a732,36,51,580,160,18,21,16,20,2,5,0.1,1,5,2,0,7,51,48,1,0,0,0,1,1,0,0,0,0,36,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,56,0,1,27,29,2,56,0,2,47,7,0,0,0,1,1,0,0,0,0,6,0,0
Keira Walsh,21,eng ENG,CM,25-162,71,0,0,0,0,0,0,0,0,65,1,0,0,0.0,0.0,0.0,2,0,56,61,4,0,0,ca934b6b,ENG,15f49df1,4df3a732,56,61,1190,316,22,23,23,27,11,11,0.0,0,3,0,0,4,61,61,0,0,0,1,0,0,0,0,0,0,56,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,65,0,7,52,6,0,65,1,2,55,0,0,0,0,0,0,1,0,0,0,3,2,0
Ingrid Syrstad Engen,23,no NOR,CM,24-141,19,0,0,0,0,0,0,0,0,22,2,0,0,0.0,0.0,0.0,1,0,19,20,2,1,1,0bfd82d0,NOR,15f49df1,4df3a732,19,20,303,92,9,9,5,5,3,4,0.0,0,2,1,0,2,20,20,0,0,0,0,0,0,0,0,0,0,19,0,0,2,1,2,0,0,0,0,0,0,0,0,2,0,0,22,0,3,15,4,0,22,0,0,20,0,0,3,0,0,0,1,0,0,0,1,0,0
Vicky López,30,,RM,16-053,61,0,0,0,0,1,0,0,0,41,1,0,0,0.1,0.1,0.0,1,0,31,35,1,1,1,78c237d1,,15f49df1,4df3a732,31,35,404,73,22,24,9,9,0,0,0.1,0,4,1,0,1,35,33,1,0,0,0,0,1,0,0,0,0,31,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,41,0,1,21,19,2,41,1,1,30,2,0,0,0,0,0,1,0,0,0,4,1,0
