Minute,Player,Squad,xG,PSxG,Outcome,Distance,BodyPart,Notes,SCA1_Player,SCA1_Event,SCA2_Player,SCA2_Event,PlayerID,SquadID,SCA1_PlayerID,SCA2_PlayerID,MatchID
1,Claudia Blanco,UDG Tenerife,0.01,,Off Target,60,Right Foot,,,,,,38807c65,4c088abe,,,4df3a732
9,Lucy Bronze,Barcelona,0.08,,Off Target,9,Head,,Mapi León,Pass (Dead),,,5056c581,15f49df1,d41a5309,,4df3a732
9,Ange N'Guessan,UDG Tenerife,0.32,0.18,Saved,15,Right Foot,Volley,Sara López,Pass (Live),Andrea Marrero,Pass (Live),d8e8aa5e,4c088abe,7ea14a04,d425eb3b,4df3a732
19,Lucy Bronze,Barcelona,0.04,,Off Target,16,Right Foot,,Caroline Graham Hansen,Pass (Live),,,5056c581,15f49df1,e891b7ae,,4df3a732
31,Ange N'Guessan,UDG Tenerife,0.06,,Off Target,12,Left Foot,,,,,,d8e8aa5e,4c088abe,,,4df3a732
31,Ana-Maria Crnogorčević,Barcelona,0.03,,Off Target,26,Right Foot,,Mariona Caldentey,Pass (Live),Fridolina Rolfö,Pass (Live),d3c316a3,15f49df1,59da315a,6862731d,4df3a732
32,Caroline Graham Hansen,Barcelona,0.06,,Blocked,13,Right Foot,,Vicky López,Pass (Live),Mapi León,Pass (Live),e891b7ae,15f49df1,78c237d1,d41a5309,4df3a732
33,Irene Paredes,Barcelona,0.03,0.03,Saved,16,Head,,Caroline Graham Hansen,Pass (Dead),Lucy Bronze,Pass (Dead),6a86dd87,15f49df1,e891b7ae,5056c581,4df3a732
36,Ana-Maria Crnogorčević,Barcelona,0.05,0.03,Saved,16,Right Foot,Volley,Caroline Graham Hansen,Pass (Dead),Lucy Bronze,Fouled,d3c316a3,15f49df1,e891b7ae,5056c581,4df3a732
38,Ange N'Guessan,UDG Tenerife,0.03,,Off Target,28,Right Foot,,,,,,d8e8aa5e,4c088abe,,,4df3a732
43,Vicky López,Barcelona,0.05,,Blocked,19,Right Foot,,Fridolina Rolfö,Pass (Live),Irene Paredes,Pass (Live),78c237d1,15f49df1,6862731d,6a86dd87,4df3a732
45+1,Fridolina Rolfö,Barcelona,0.07,0.03,Saved,10,Head,,Caroline Graham Hansen,Pass (Live),Mariona Caldentey,Pass (Live),6862731d,15f49df1,e891b7ae,59da315a,4df3a732
45+3,Irene Paredes,Barcelona,0.06,,Off Target,10,Head,,Mapi León,Pass (Dead),Fridolina Rolfö,Pass (Live),6a86dd87,15f49df1,d41a5309,6862731d,4df3a732
53,Irene Paredes,Barcelona,0.04,,Blocked,16,Right Foot,,Ana-Maria Crnogorčević,Pass (Live),Ana-Maria Crnogorčević,Dribble,6a86dd87,15f49df1,d3c316a3,d3c316a3,4df3a732
54,Irene Paredes,Barcelona,0.20,,Blocked,5,Left Foot,,Mapi León,Pass (Dead),Irene Paredes,Shot,6a86dd87,15f49df1,d41a5309,6a86dd87,4df3a732
54,Caroline Graham Hansen,Barcelona,0.09,,Blocked,13,Left Foot,,Caroline Graham Hansen,Dribble,Irene Paredes,Shot,e891b7ae,15f49df1,e891b7ae,6a86dd87,4df3a732
54,Fridolina Rolfö,Barcelona,0.11,,Blocked,4,Right Foot,,Caroline Graham Hansen,Pass (Dead),Caroline Graham Hansen,Shot,6862731d,15f49df1,e891b7ae,e891b7ae,4df3a732
57,Irene Paredes,Barcelona,0.03,,Blocked,12,Head,,Caroline Graham Hansen,Pass (Dead),,,6a86dd87,15f49df1,e891b7ae,,4df3a732
57,Fridolina Rolfö,Barcelona,0.05,,Blocked,12,Left Foot,Volley,Irene Paredes,Shot,,,6862731d,15f49df1,6a86dd87,,4df3a732
59,Geyse,Barcelona,0.05,,Blocked,18,Right Foot,,Caroline Graham Hansen,Pass (Live),Keira Walsh,Pass (Live),5b5de127,15f49df1,e891b7ae,ca934b6b,4df3a732
61,Geyse,Barcelona,0.04,0.21,Goal,23,Left Foot,,,,,,5b5de127,15f49df1,,,4df3a732
64,Geyse,Barcelona,0.33,,Off Target,12,Right Foot,,Fridolina Rolfö,Pass (Live),Keira Walsh,Pass (Live),5b5de127,15f49df1,6862731d,ca934b6b,4df3a732
68,Caroline Graham Hansen,Barcelona,0.03,0.21,Goal,30,Right Foot,,,,,,e891b7ae,15f49df1,,,4df3a732
72,Fridolina Rolfö,Barcelona,0.03,,Off Target,27,Left Foot,,,,,,6862731d,15f49df1,,,4df3a732
73,Lucy Bronze,Barcelona,0.06,,Off Target,16,Right Foot,,Asisat Oshoala,Pass (Live),Lucy Bronze,Pass (Live),5056c581,15f49df1,23a1662b,5056c581,4df3a732
90+1,Marta Torrejón,Barcelona,0.39,0.53,Saved,9,Right Foot,,Fridolina Rolfö,Pass (Live),Ingrid Syrstad Engen,Pass (Live),f45ad67e,15f49df1,6862731d,0bfd82d0,4df3a732
90+1,Marta Torrejón,Barcelona,0.15,,Blocked,9,Right Foot,,Marta Torrejón,Shot,,,f45ad67e,15f49df1,f45ad67e,,4df3a732
5,Gema Soliveres,Alavés,0.03,,Off Target,31,Right Foot,,,,,,fbfaadb9,aa11fb42,,,87c755cd
11,Lucia Pardo,Madrid CFF,0.09,,Off Target,17,Left Foot,Volley,Estela Fernández,Pass (Live),Florencia Bonsegundo,Pass (Live),645bf5f7,89818574,419dbe83,6965bcd4,87c755cd
15,Elba Vergés Prats,Alavés,0.05,0.19,Saved,10,Head,,Miriam Diéguez,Pass (Dead),Sara Carrillo,Fouled,d5b21745,aa11fb42,47df4a71,aa9bb943,87c755cd
26,Lucia Pardo,Madrid CFF,0.05,0.16,Saved,16,Right Foot,,Itziar Pinillos,Pass (Live),Ana González,Pass (Live),645bf5f7,89818574,fa2ad5a0,c73de6bc,87c755cd
33,Lucia Pardo,Madrid CFF,0.05,0.08,Goal,13,Head,,Gabi Nunes,Pass (Live),Laura Domínguez,Pass (Live),645bf5f7,89818574,8ce35340,2f7b026f,87c755cd
36,Florencia Bonsegundo,Madrid CFF,0.51,,Off Target,6,Head,,Lucia Pardo,Pass (Live),Itziar Pinillos,Pass (Live),6965bcd4,89818574,645bf5f7,fa2ad5a0,87c755cd
43,Itziar Pinillos,Madrid CFF,0.05,,Off Target,15,Right Foot,Volley,Laura Domínguez,Pass (Live),Sandra Villafañe,Pass (Live),fa2ad5a0,89818574,2f7b026f,1a1687d2,87c755cd
